"filename", "language", "TypeScript", "vue", "PostCSS", "comment", "blank", "total"
"f:\Project\RBlog\RBlog_F\components.d.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"f:\Project\RBlog\RBlog_F\src\components\ArchivingCard\ArchivingCard.vue", "vue", 0, 42, 0, 2, 6, 50
"f:\Project\RBlog\RBlog_F\src\components\ArchivingPositionCard\ArchivingPositionCard.vue", "vue", 0, 105, 0, 2, 16, 123
"f:\Project\RBlog\RBlog_F\src\components\FeelingCard\FeelingCard.vue", "vue", 0, -8, 0, -2, -2, -12
"f:\Project\RBlog\RBlog_F\src\hooks\useArchivingPage\useArchivingPage.ts", "TypeScript", 55, 0, 0, 8, 4, 67
"f:\Project\RBlog\RBlog_F\src\hooks\useFeelingCard\useFeelingCard.ts", "TypeScript", 13, 0, 0, 1, 0, 14
"f:\Project\RBlog\RBlog_F\src\pages\ArchivingPage\ArchivingPage.vue", "vue", 0, 56, 0, 1, 8, 65
"f:\Project\RBlog\RBlog_F\src\router\index.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"f:\Project\RBlog\RBlog_F\src\styles\archiving-card\archiving-card.css", "PostCSS", 0, 0, 118, 4, 18, 140
"f:\Project\RBlog\RBlog_F\src\styles\archiving-page\archiving-page.css", "PostCSS", 0, 0, 125, 5, 22, 152
"f:\Project\RBlog\RBlog_F\src\styles\archiving-position-card\archiving-position-card.css", "PostCSS", 0, 0, 138, 1, 22, 161
"f:\Project\RBlog\RBlog_F\src\types\index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"Total", "-", 75, 195, 381, 22, 95, 768